Detector,Profile,File,Threshold,Score,TP,TN,FP,FN,Total_Count
recentErrorpredictionMultiStepNNMultiStep1Window50errorInput5mseconvergenceLoss13146,reward_low_FP_rate,realKnownCause/ambient_temperature_system_failure.csv,0.998431396484,-2.0,0,5791,0,726,7267
recentErrorpredictionMultiStepNNMultiStep1Window50errorInput5mseconvergenceLoss13146,reward_low_FP_rate,realTraffic/speed_t4013.csv,0.998431396484,-0.131894888329,4,1871,0,246,2495
recentErrorpredictionMultiStepNNMultiStep1Window50errorInput5mseconvergenceLoss13146,reward_low_FP_rate,realAWSCloudwatch/grok_asg_anomaly.csv,0.998431396484,-3.0,0,3463,0,465,4621
recentErrorpredictionMultiStepNNMultiStep1Window50errorInput5mseconvergenceLoss13146,reward_low_FP_rate,realAWSCloudwatch/ec2_network_in_5abac7.csv,0.998431396484,0.497921100624,5,3541,6,469,4730
recentErrorpredictionMultiStepNNMultiStep1Window50errorInput5mseconvergenceLoss13146,reward_low_FP_rate,artificialNoAnomaly/art_daily_perfect_square_wave.csv,0.998431396484,-0.88,0,3424,4,0,4032
recentErrorpredictionMultiStepNNMultiStep1Window50errorInput5mseconvergenceLoss13146,reward_low_FP_rate,realTraffic/TravelTime_387.csv,0.998431396484,-1.14454290428,1,1876,0,248,2500
recentErrorpredictionMultiStepNNMultiStep1Window50errorInput5mseconvergenceLoss13146,reward_low_FP_rate,realTraffic/occupancy_t4013.csv,0.998431396484,1.7250312654,4,1875,0,246,2500
recentErrorpredictionMultiStepNNMultiStep1Window50errorInput5mseconvergenceLoss13146,reward_low_FP_rate,realTweets/Twitter_volume_AAPL.csv,0.998431396484,1.72031286884,7,13564,0,1581,15902
recentErrorpredictionMultiStepNNMultiStep1Window50errorInput5mseconvergenceLoss13146,reward_low_FP_rate,realKnownCause/nyc_taxi.csv,0.998431396484,-5.44,0,8533,2,1035,10320
recentErrorpredictionMultiStepNNMultiStep1Window50errorInput5mseconvergenceLoss13146,reward_low_FP_rate,realAWSCloudwatch/ec2_cpu_utilization_ac20cd.csv,0.998431396484,0.85712688145,1,3025,0,402,4032
recentErrorpredictionMultiStepNNMultiStep1Window50errorInput5mseconvergenceLoss13146,reward_low_FP_rate,artificialNoAnomaly/art_daily_no_noise.csv,0.998431396484,0.0,0,3428,0,0,4032
recentErrorpredictionMultiStepNNMultiStep1Window50errorInput5mseconvergenceLoss13146,reward_low_FP_rate,artificialNoAnomaly/art_noisy.csv,0.998431396484,0.0,0,3428,0,0,4032
recentErrorpredictionMultiStepNNMultiStep1Window50errorInput5mseconvergenceLoss13146,reward_low_FP_rate,artificialWithAnomaly/art_daily_flatmiddle.csv,0.998431396484,-1.66,0,3022,3,403,4032
recentErrorpredictionMultiStepNNMultiStep1Window50errorInput5mseconvergenceLoss13146,reward_low_FP_rate,realAdExchange/exchange-3_cpm_results.csv,0.998431396484,0.857454360734,1,1155,0,152,1538
recentErrorpredictionMultiStepNNMultiStep1Window50errorInput5mseconvergenceLoss13146,reward_low_FP_rate,realAdExchange/exchange-4_cpc_results.csv,0.998431396484,0.706414419968,2,1232,0,163,1643
recentErrorpredictionMultiStepNNMultiStep1Window50errorInput5mseconvergenceLoss13146,reward_low_FP_rate,artificialWithAnomaly/art_daily_nojump.csv,0.998431396484,-1.22,0,3024,1,403,4032
